id,gene_short_name,n_cells,highly_variable,means,dispersions,dispersions_norm,spearmanr_recon
ENSG00000189229.10,AC069277.1,136936,True,1.673616966012249,3.486173450995596,3.656173,0.6388766800161436
ENSG00000254251.1,AC103770.1,127258,True,0.9312599182836487,2.7731445243302324,2.5148337,0.6375529257430775
ENSG00000138756.17,BMP2K,155421,True,1.16860203611547,2.927541366361827,2.7163782,0.6363773759478751
ENSG00000135766.8,EGLN1,145096,True,0.9573970378651653,2.587697931860012,1.5569144,0.6363019437939184
ENSG00000026025.15,VIM,125293,True,0.9618301471688505,2.6738883775006985,2.0021288,0.6343518084766542
ENSG00000107249.21,GLIS3,141186,True,1.1341658688938803,2.8318480267356856,2.2695162,0.6340852122376067
ENSG00000171889.3,MIR31HG,125253,True,1.1063279410746185,2.836397048767519,2.2907588,0.6328319809096026
ENSG00000102265.11,TIMP1,130350,True,0.8684765319016899,3.117621975689926,4.2942224,0.6324117078505136
ENSG00000225546.5,LINC02476,137604,True,1.453851277670495,3.258357525395268,2.8402863,0.6234606235029794
ENSG00000166501.12,PRKCB,134846,True,1.5953741407754818,3.481409422593086,3.6391115,0.6220913226171255
ENSG00000184588.17,PDE4B,123116,True,1.0685989793234363,2.815000910945964,2.1908448,0.6215498371206127
ENSG00000197956.9,S100A6,121211,True,0.9031800280079662,2.678037437998747,2.0235608,0.6206007187933064
ENSG00000064042.17,LIMCH1,127112,True,0.9928051964506936,2.6882604434741464,2.0763674,0.6179673814869473
ENSG00000115461.4,IGFBP5,121155,True,1.201189693569317,3.6584149963888617,6.1293597,0.615588458907652
ENSG00000106034.17,CPED1,125093,True,1.4343893985857878,3.2640295459151627,2.8605998,0.6153342935186856
ENSG00000117983.17,MUC5B,117319,True,0.9084702958082893,2.903313639731921,3.1872187,0.6104595947864014
ENSG00000157168.18,NRG1,120512,True,1.0852912496515263,2.9519392992458453,2.8303099,0.6092821609811805
ENSG00000003436.15,TFPI,123499,True,0.892639488056046,2.592845184914838,1.5835024,0.6071122536842246
ENSG00000171791.12,BCL2,119757,True,0.7835775097013579,2.590268952035912,1.570195,0.6055957753453981
ENSG00000102683.7,SGCG,113203,True,0.7411362273365399,2.6097249595253067,1.6706944,0.6024958237860805
ENSG00000153976.2,HS3ST3A1,111134,True,0.7054271644889875,2.5143614010283644,1.7735485,0.6020822549689918
ENSG00000154529.14,CNTNAP3B,109646,True,0.9513260572247161,2.7354173401228574,2.3199549,0.6019921862007934
ENSG00000147408.14,CSGALNACT1,122221,True,1.009165666274596,2.790951380239728,2.6068146,0.6016088471971967
ENSG00000172572.6,PDE3A,113473,True,0.9726746722222285,2.740421623156944,2.3458045,0.5994835604553415
ENSG00000173926.5,MARCH3,113224,True,1.0406186809045535,3.131380658674187,4.3652925,0.5972893480402446
ENSG00000156049.6,GNA14,107788,True,0.6474696847610814,2.5447199086667927,1.9646623,0.5970120585284286
ENSG00000183780.12,SLC35F3,115544,True,0.9514925673461871,2.6914857056695154,2.0930274,0.5903226844393982
ENSG00000153956.15,CACNA2D1,110276,True,0.9763475845797052,2.8534843409213155,2.9298267,0.5891374110500379
ENSG00000257242.7,LINC01619,114316,True,0.7034974528450701,2.5518492389548113,2.0095432,0.5885327838683473
ENSG00000241388.4,HNF1A-AS1,104004,True,0.96955714104577,2.848838660652821,2.9058297,0.5851406489027867
ENSG00000169855.19,ROBO1,105759,True,0.7048398279628342,2.739499880767078,3.1908474,0.5802564344613946
ENSG00000229807.10,XIST,98748,True,0.6684030872975224,2.6314984273162105,2.5109532,0.5768515284922577
ENSG00000283117.1,MGC4859,103938,True,1.2467461734265015,3.21768329870292,4.0712624,0.5709571119770998
ENSG00000167281.18,RBFOX3,101193,True,0.9163240804616889,2.788651317618618,2.5949335,0.5701714311269178
ENSG00000166206.14,GABRB3,102671,True,0.8687358969135717,2.7132978083568005,2.205697,0.5699418632954948
ENSG00000169946.13,ZFPM2,108489,True,1.2840359347516292,3.2715073121251375,4.3226056,0.5679937482948723
ENSG00000147454.13,SLC25A37,129297,True,1.035829209569303,3.1387809956464,4.4035187,0.5674524700154301
ENSG00000151322.18,NPAS3,97597,True,0.6604409628057982,2.6869091517550743,2.8597767,0.5648514207861809
ENSG00000182752.9,PAPPA,98800,True,0.885819689479853,2.7740897752882825,2.5197163,0.5636017971012607
ENSG00000108312.14,UBTF,138971,True,0.880319248529352,2.8112140836030313,2.7114809,0.5610037131242402
ENSG00000117020.16,AKT3,98463,True,0.8027671328437358,2.597594613206653,1.6080354,0.5602537391939154
ENSG00000116106.11,EPHA4,96089,True,0.700337143533183,2.802910606586325,3.5900328,0.5593300687353808
ENSG00000230258.6,AC005208.1,97034,True,1.211630247352263,3.4048670224016693,4.9453597,0.5559582094602776
ENSG00000135480.15,KRT7,101220,True,0.8344001913560379,2.6752334126106745,2.0090766,0.5546695438322624
ENSG00000161040.16,FBXL13,101676,True,0.9814792854803933,3.0995014309519915,4.200621,0.5538626384206157
ENSG00000105669.13,COPE,113194,True,0.6715089631774783,2.568831774621258,2.1164522,0.5465837102014078
